Polling Booth Name,Polling Booth Address,HearingAid,Braille,Interpreter Services,latitude,longitude
Shri Mammabai High School,"Shri Mammabai High School, Gr.floor,Hall A,Dr.B.A.Road, Mumbai 12-",No,No,No,18.987348,72.83594769999999
"Shishu Vihar School, Shri Velji Lakhamshi Nappu High School Compound,","Shri Velji Lakhamshi Nappu High School Compound, Gr.floor,R.No.1, Dr.B.A.Marg,Mumbai 12",Yes,Yes,No,18.9774673,72.8345417
"Byculla East Municipal School,","Ground Floor, Room No.41, E.S.Patanwala Marg, Mumbai 27",No,No,No,18.9806016,72.83542229999999
"Rambhau Bhogale Marg, Mun.Marathi Primary School,","Gr.floor, R.No.1, Rambhau Bhogale Marg, Mumbai 33",No,Yes,Yes,18.9765002,72.8407848
"Mohammed Umer Rajab Road, Mun. Madhyamik School,","Gr.floor, R.No.1, Mohammed Umer Rajab Road,Madanpura,Mumbai 8",No,No,Yes,18.9484199,72.8344749
"Saint Ignetitious High School,","Gr.floor, R.No.4, 243 Sane Guruji Marg,Mumbai 11",Yes,No,No,18.9801203,72.8258671
"Maharashtra Kamgar Kalyan Kendra,","Rambhau Bhogale Marg, Opposite Mun.School, Ghodapdev, Mumbai 33",No,Yes,No,18.9838237,72.8409962
"Byculla East, Municipal School,","Gr.Floor, R.No.1, E.S.Patanwala Marg, Mumbai 27",No,No,Yes,18.9804556,72.8390981
"Loksahir Annabhau Sathe Natyagruha,","Mandap- A , E.S Patnwala Marg, Mumbai-400027",No,Yes,Yes,18.9803548,72.8368176
"Byculla West Primary Marathi School ,","Ground Floor, Hall - A , N.M. Joshi Marg, Mumbai 11",No,No,No,18.9888731,72.8317907
"Kasturba Servants Quarters,","Kasturba Servants Quarter, Mandap -A, Sane Guruji Marg, Near Saint Ignetious Church, Mumbai 11",Yes,No,No,18.9840859,72.8297772
"Kinjal Tower,","Basement BMC parking  A , Pais Street, Mumbai-11",No,Yes,No,18.979272,72.83101839999999
"Sadhvi Savitribai Phule, U. P.Municipal Marathi School,","Gr. Floor Hall D, N.M.Joshi Marg,Meherpada compound,Mumbai 27",Yes,Yes,No,18.9789354,72.83153850000001
"B.P.T. E.Shed, A Mesant Shed","Near Reay Road Station, B.P.T. E.Shed, A Mesant Shed, Signal Hill View Mumbai.",Yes,No,No,19.0759837,72.8776559
"B.P.T. E.Shed, B Mesant Shed","Near Reay Road Station, B.P.T. E.Shed, B Mesant Shed, Signal Hill View Mumbai.",No,Yes,No,19.0759837,72.8776559
"B.P.T. E.Shed, C Mesant Shed,","Near Reay Road Station,B.P.T. E.Shed, C Mesant Shed, Signal Hill View Mumbai.",Yes,No,No,19.0759837,72.8776559
",B.P.T. E.Shed, G Mesant Shed","Near Reay Road Station,B.P.T. E.Shed, G Mesant Shed, Signal Hill View Mumbai.",No,No,No,19.0759837,72.8776559
"B.P.T. E.Shed, D Mesant Shed","Near Reay Road Station,B.P.T. E.Shed, D Mesant Shed, Signal Hill View Mumbai.",No,Yes,Yes,19.0759837,72.8776559
"B.P.T. E.Shed, E Mesant Shed","Near Reay Road Station,B.P.T. E.Shed, E Mesant Shed, Gr.Floor, Signal Hill View Mumbai.",No,Yes,No,19.0759837,72.8776559
